NAME: OLEMBURG
TYPE: VRP
COMMENT: ARTIFICIAL
DIMENSION: 300
EDGE_WEIGHT_TYPE : EUC
ARISTAS: 1524
NODE_COORD_SECTION
293	299	1562	0	86
2	5	1579	0	87
5	7	1434	0	79
7	11	1426	0	79
11	37	1385	0	76
1	3	1397	0	77
3	4	1607	0	89
4	6	1360	0	75
126	128	240	2	4
239	270	372	2	6
238	239	273	2	5
237	238	366	2	6
236	237	288	2	5
184	236	1444	0	80
129	184	321	2	5
126	129	438	2	8
125	126	246	2	4
123	125	408	2	7
121	123	366	2	6
118	121	1372	0	76
118	119	1432	0	79
124	138	399	2	7
120	124	273	2	5
119	120	1431	0	79
119	122	1351	0	75
122	127	369	2	6
127	201	282	2	5
66	78	95	4	1
66	82	65	4	0
12	14	1585	0	88
6	8	1564	0	86
8	10	1450	0	80
10	12	1524	0	84
12	16	1394	0	77
6	9	1405	0	78
16	20	1430	0	79
20	25	1427	0	79
25	32	1377	0	76
112	115	1369	0	76
108	112	1442	0	80
105	108	1435	0	79
48	49	336	2	6
39	48	375	2	6
34	39	324	2	6
39	46	240	2	4
18	23	1484	0	82
16	18	1479	0	82
14	18	1611	0	89
32	44	324	2	6
51	52	315	2	5
43	52	342	2	6
40	42	369	2	6
42	45	462	2	8
40	43	462	2	8
28	43	1449	0	80
24	28	1488	0	82
28	35	1376	0	76
66	74	100	4	1
74	80	85	4	0
74	92	25	4	0
92	104	1512	0	84
31	38	456	2	8
26	31	1396	0	77
20	31	1439	0	79
15	23	1472	0	81
38	44	318	2	5
96	105	1485	0	82
74	96	95	4	1
29	41	1389	0	77
29	34	1473	0	81
22	29	1380	0	76
22	36	1500	0	83
19	22	1615	0	89
19	30	1489	0	82
15	19	1487	0	82
14	15	1543	0	85
57	60	261	2	4
55	57	414	2	7
53	55	282	2	5
51	53	423	2	7
49	51	444	2	8
47	49	459	2	8
46	51	249	2	4
41	46	291	2	5
36	41	354	2	6
30	36	255	2	4
26	30	1417	0	78
23	26	1546	0	85
24	40	1382	0	76
17	24	1504	0	83
13	17	1595	0	88
10	13	1529	0	84
25	38	1522	0	84
35	47	375	2	6
34	35	435	2	8
9	21	1564	0	86
21	27	1419	0	78
27	33	1449	0	80
33	66	288	2	5
80	89	60	4	0
89	110	105	4	1
139	159	450	2	8
134	139	330	2	6
139	144	291	2	5
144	156	423	2	7
213	222	339	2	6
128	134	480	2	8
193	215	1448	0	80
190	193	1466	0	81
191	199	1547	0	85
199	211	1538	0	85
211	226	387	2	7
205	214	1420	0	78
191	205	1595	0	88
185	191	1550	0	86
180	185	1565	0	86
173	180	60	4	0
167	173	145	4	1
164	167	85	4	0
159	164	80	4	0
159	162	130	4	1
162	194	60	4	0
194	227	1406	0	78
209	223	1554	0	86
223	235	324	2	6
209	217	1571	0	87
202	220	1382	0	76
186	202	1445	0	80
183	186	1492	0	82
186	209	1474	0	81
172	183	90	4	1
183	200	1404	0	78
200	210	1403	0	77
210	213	474	2	8
216	221	312	2	5
221	231	456	2	8
225	231	435	2	8
216	225	435	2	8
199	216	1602	0	89
213	232	408	2	7
164	177	70	4	0
182	188	1368	0	76
172	182	30	4	0
182	187	1406	0	78
187	192	1574	0	87
188	192	1553	0	86
161	172	125	4	1
136	137	459	2	8
134	136	408	2	7
136	143	453	2	8
143	149	273	2	5
149	154	288	2	5
154	170	50	4	0
168	170	25	4	0
151	161	50	4	0
161	168	35	4	0
168	175	55	4	0
163	175	70	4	0
153	163	5	4	0
141	153	357	2	6
137	141	318	2	5
208	230	1368	0	76
190	208	1452	0	80
162	190	135	4	1
203	228	1466	0	81
185	203	1454	0	80
255	277	130	4	1
277	284	1466	0	81
277	300	1352	0	75
275	282	1456	0	80
282	287	1501	0	83
286	287	1427	0	79
275	286	1495	0	83
271	275	1506	0	83
268	271	145	4	1
264	268	55	4	0
268	279	90	4	1
272	279	1372	0	76
262	272	105	4	1
262	264	35	4	0
255	262	55	4	0
245	250	65	4	0
245	246	135	4	1
241	245	90	4	1
284	297	1551	0	86
284	295	1453	0	80
257	298	105	4	1
254	257	100	4	1
257	259	120	4	1
253	292	90	4	1
242	253	55	4	0
238	242	354	2	6
238	240	405	2	7
243	248	70	4	0
248	261	105	4	1
261	269	70	4	0
273	281	1367	0	75
281	290	1615	0	89
278	288	1547	0	85
259	278	75	4	0
278	296	1435	0	79
250	255	135	4	1
260	266	165	4	1
250	260	110	4	1
283	293	1471	0	81
246	283	45	4	0
240	241	5	4	0
240	244	130	4	1
240	243	105	4	1
256	265	60	4	0
242	256	140	4	1
242	254	115	4	1
254	280	110	4	1
130	132	447	2	8
132	135	405	2	7
135	142	477	2	8
142	151	405	2	7
174	195	125	4	1
174	179	155	4	1
169	174	25	4	0
148	150	351	2	6
145	148	414	2	7
148	152	420	2	7
152	155	95	4	1
