NAME: VRP
TYPE: TSP
COMMENT: NA
DIMENSION: 25
EDGE_WEIGHT_TYPE : EUC
ARISTAS: 80
NODE_COORD_SECTION
1	2	4	0
1	6	3	0
2	1	4	0
2	7	6	0
2	3	8	0
3	2	8	0
3	8	3	4
3	4	1	4
4	3	1	4
4	9	1	4
4	5	5	4
5	4	5	4
5	10	3	4
6	1	3	0
6	7	1	0
6	11	5	0
7	2	6	0
7	6	1	0
7	8	4	0
7	12	2	0
8	3	3	4
8	7	4	0
8	13	1	4
8	9	3	4
9	4	1	4
9	8	3	4
9	14	6	4
9	10	2	4
10	5	3	4
10	9	2	4
10	15	5	4
11	6	5	0
11	12	14	2
11	16	17	2
12	7	2	0
12	11	14	2
12	17	22	2
12	13	23	2
13	8	1	4
13	12	23	2
13	18	14	2
13	14	17	2
14	9	6	4
14	13	17	2
14	19	2	4
14	15	1	4
15	10	5	4
15	14	1	4
15	20	2	4
16	11	17	2
16	17	15	2
16	21	20	2
17	12	22	2
17	16	15	2
17	22	25	2
17	18	22	0
18	13	14	2
18	17	22	0
18	23	18	2
18	19	19	2
19	14	2	4
19	18	19	2
19	24	21	2
19	20	23	2
20	15	2	4
20	19	23	2
20	25	21	2
21	16	20	2
21	22	16	2
22	17	25	2
22	21	16	2
22	23	17	0
23	18	18	2
23	22	17	0
23	24	10	2
24	19	21	2
24	23	10	2
24	25	17	2
25	20	21	2
25	24	17	2

VEHICLES: 1
6 18
