NAME: VRP
TYPE: TSP
COMMENT: NA
DIMENSION: 100
EDGE_WEIGHT_TYPE : EUC
ARISTAS: 360
NODE_COORD_SECTION
1	2	18	3
1	11	5	4
2	1	11	2
2	3	20	8
2	12	6	3
3	2	1	5
3	4	10	9
3	13	9	5
4	3	13	1
4	5	22	7
4	14	9	8
5	4	14	8
5	6	25	7
5	15	8	8
6	5	8	6
6	7	3	9
6	16	23	7
7	6	14	7
7	8	1	7
7	17	17	4
8	7	20	4
8	9	25	8
8	18	23	7
9	8	24	5
9	10	21	2
9	19	20	7
10	9	12	10
10	20	1	10
11	1	12	3
11	12	24	5
11	21	5	3
12	2	22	5
12	11	7	10
12	13	17	3
12	22	5	1
13	3	6	8
13	12	7	4
13	14	3	9
13	23	7	1
14	4	20	8
14	13	1	4
14	15	19	9
14	24	11	9
15	5	10	1
15	14	22	2
15	16	21	7
15	25	19	4
16	6	17	7
16	15	22	5
16	17	12	6
16	26	19	5
17	7	25	8
17	16	10	5
17	18	11	8
17	27	3	5
18	8	5	10
18	17	6	4
18	19	15	4
18	28	19	3
19	9	11	3
19	18	18	3
19	20	16	8
19	29	15	8
20	10	23	3
20	19	24	4
20	30	7	8
21	11	2	2
21	22	2	2
21	31	19	7
22	12	3	4
22	21	8	1
22	23	11	5
22	32	10	9
23	13	13	10
23	22	25	9
23	24	11	7
23	33	10	1
24	14	24	8
24	23	11	10
24	25	15	3
24	34	3	1
25	15	7	1
25	24	18	10
25	26	17	5
25	35	21	5
26	16	13	5
26	25	18	8
26	27	8	2
26	36	13	4
27	17	4	7
27	26	1	3
27	28	4	2
27	37	25	3
28	18	20	8
28	27	11	10
28	29	9	7
28	38	13	6
29	19	4	1
29	28	9	2
29	30	19	6
29	39	21	9
30	20	8	8
30	29	4	8
30	40	5	10
31	21	21	9
31	41	6	3
31	32	21	2
32	22	24	10
32	31	7	1
32	33	24	8
32	42	15	5
33	23	12	6
33	32	14	4
33	34	12	10
33	43	22	8
34	24	5	7
34	33	18	1
34	35	5	5
34	44	14	7
35	25	6	3
35	34	14	6
35	36	25	8
35	45	24	7
36	26	1	4
36	35	3	3
36	37	1	1
36	46	25	9
37	27	1	9
37	36	23	8
37	38	5	10
37	47	5	5
38	28	8	2
38	37	6	9
38	39	9	8
38	48	9	5
39	29	18	7
39	38	7	10
39	40	16	9
39	49	22	10
40	30	10	9
40	39	18	4
40	50	5	2
41	31	15	2
41	42	17	7
41	51	20	3
42	32	3	7
42	41	3	9
42	43	7	6
42	52	6	6
43	33	14	4
43	42	19	9
43	44	13	1
43	53	24	5
44	34	3	5
44	43	14	5
44	45	14	9
44	54	21	4
45	35	21	8
45	44	7	6
45	46	14	5
45	55	25	6
46	36	8	6
46	45	6	3
46	47	15	2
46	56	23	2
47	37	9	8
47	46	2	10
47	48	3	4
47	57	9	9
48	38	2	9
48	47	10	3
48	49	22	2
48	58	7	6
49	39	19	10
49	48	4	2
49	50	21	1
49	59	12	6
50	40	8	4
50	49	5	10
50	60	2	5
51	41	8	9
51	61	15	5
51	52	4	1
52	51	19	9
52	53	16	2
52	42	21	4
52	62	23	7
53	43	1	1
53	52	19	9
53	54	12	10
53	63	17	6
54	44	4	6
54	53	20	1
54	55	9	1
54	64	23	10
55	45	15	10
55	54	3	4
55	56	1	7
55	65	8	6
56	46	9	2
56	55	13	10
56	57	20	8
56	66	20	7
57	47	4	3
57	56	12	4
57	58	2	3
57	67	16	7
58	48	24	5
58	57	17	8
58	59	6	4
58	68	4	9
59	49	7	4
59	58	4	8
59	60	4	8
59	69	13	6
60	50	3	1
60	59	13	8
60	70	9	4
61	51	17	8
61	71	3	3
61	62	16	6
62	52	7	6
62	61	12	3
62	63	5	8
62	72	22	7
63	53	22	5
63	62	24	9
63	64	25	3
63	73	10	3
64	54	12	1
64	63	8	2
64	65	19	2
64	74	7	3
65	55	5	6
65	64	2	2
65	66	16	7
65	75	19	10
66	56	23	9
66	65	5	9
66	67	3	8
66	76	4	10
67	57	5	3
67	66	3	1
67	68	4	1
67	77	15	10
68	58	24	1
68	67	1	2
68	69	19	10
68	78	3	8
69	59	23	8
69	68	9	10
69	70	14	3
69	79	5	1
70	60	17	8
70	69	5	8
70	80	21	4
71	61	24	2
71	72	11	5
71	81	16	9
72	62	25	1
72	71	11	6
72	73	4	10
72	82	24	9
73	63	2	8
73	72	7	6
73	74	3	7
73	83	12	8
74	64	22	2
74	73	24	10
74	75	10	9
74	84	9	1
75	65	4	7
75	74	14	6
75	76	24	3
75	85	9	1
76	66	18	4
76	75	18	8
76	77	4	7
76	86	8	8
77	67	4	3
77	76	10	4
77	78	18	1
77	87	5	2
78	68	17	3
78	77	14	1
78	79	17	2
78	88	19	8
79	69	6	3
79	78	4	7
79	80	17	4
79	89	12	10
80	70	10	9
80	79	23	3
80	90	16	7
